urn:ogc:def:parameter:x-istsos:1.0:time:iso8601,urn:ogc:def:parameter:x-istsos:1.0:meteo:air:temperature
2013-01-02T09:30:00.000000+0100,2.205000
2013-01-02T09:40:00.000000+0100,2.334000
2013-01-02T09:50:00.000000+0100,2.309000
2013-01-02T10:00:00.000000+0100,2.331000
2013-01-02T10:10:00.000000+0100,2.458000
2013-01-02T10:20:00.000000+0100,2.679000
2013-01-02T10:30:00.000000+0100,2.627000
2013-01-02T10:40:00.000000+0100,2.848000
2013-01-02T10:50:00.000000+0100,3.057000
2013-01-02T11:00:00.000000+0100,2.998000
2013-01-02T11:10:00.000000+0100,3.149000
2013-01-02T11:20:00.000000+0100,3.307000
2013-01-02T11:30:00.000000+0100,3.395000
2013-01-02T11:40:00.000000+0100,3.465000
2013-01-02T11:50:00.000000+0100,3.574000
2013-01-02T12:00:00.000000+0100,3.517000
2013-01-02T12:10:00.000000+0100,3.530000
2013-01-02T12:20:00.000000+0100,3.587000
2013-01-02T12:30:00.000000+0100,3.733000
2013-01-02T12:40:00.000000+0100,3.765000
2013-01-02T12:50:00.000000+0100,3.811000
2013-01-02T13:00:00.000000+0100,3.762000
2013-01-02T13:10:00.000000+0100,3.630000
2013-01-02T13:20:00.000000+0100,3.777000
2013-01-02T13:30:00.000000+0100,3.947000
2013-01-02T13:40:00.000000+0100,4.087000
2013-01-02T13:50:00.000000+0100,4.131000
2013-01-02T14:00:00.000000+0100,4.227000
2013-01-02T14:10:00.000000+0100,4.343000
2013-01-02T14:20:00.000000+0100,4.350000
2013-01-02T14:30:00.000000+0100,4.405000
2013-01-02T14:40:00.000000+0100,4.484000
2013-01-02T14:50:00.000000+0100,4.495000
2013-01-02T15:00:00.000000+0100,4.528000
2013-01-02T15:10:00.000000+0100,4.564000
2013-01-02T15:20:00.000000+0100,4.544000
2013-01-02T15:30:00.000000+0100,4.491000
2013-01-02T15:40:00.000000+0100,4.471000
2013-01-02T15:50:00.000000+0100,4.432000
2013-01-02T16:00:00.000000+0100,4.432000
2013-01-02T16:10:00.000000+0100,4.410000
2013-01-02T16:20:00.000000+0100,4.268000
2013-01-02T16:30:00.000000+0100,4.154000
2013-01-02T16:40:00.000000+0100,4.037000
2013-01-02T16:50:00.000000+0100,3.867000
2013-01-02T17:00:00.000000+0100,3.668000
2013-01-02T17:10:00.000000+0100,3.578000
2013-01-02T17:20:00.000000+0100,3.333000
2013-01-02T17:30:00.000000+0100,3.174000
2013-01-02T17:40:00.000000+0100,2.933000
2013-01-02T17:50:00.000000+0100,2.769000
2013-01-02T18:00:00.000000+0100,2.618000
2013-01-02T18:10:00.000000+0100,2.325000
2013-01-02T18:20:00.000000+0100,2.257000
2013-01-02T18:30:00.000000+0100,2.320000
2013-01-02T18:40:00.000000+0100,2.296000
2013-01-02T18:50:00.000000+0100,2.289000
2013-01-02T19:00:00.000000+0100,2.229000
2013-01-02T19:10:00.000000+0100,2.266000
2013-01-02T19:20:00.000000+0100,2.318000
2013-01-02T19:30:00.000000+0100,2.206000
2013-01-02T19:40:00.000000+0100,2.210000
2013-01-02T19:50:00.000000+0100,2.200000
2013-01-02T20:00:00.000000+0100,2.309000
2013-01-02T20:10:00.000000+0100,2.228000
2013-01-02T20:20:00.000000+0100,2.069000
2013-01-02T20:30:00.000000+0100,1.888000
2013-01-02T20:40:00.000000+0100,1.623000
2013-01-02T20:50:00.000000+0100,1.523000
2013-01-02T21:00:00.000000+0100,1.258000
2013-01-02T21:10:00.000000+0100,0.983000
2013-01-02T21:20:00.000000+0100,0.756000
2013-01-02T21:30:00.000000+0100,0.548000
2013-01-02T21:40:00.000000+0100,0.349000
2013-01-02T21:50:00.000000+0100,0.409000
2013-01-02T22:00:00.000000+0100,0.483000
2013-01-02T22:10:00.000000+0100,-0.077000
2013-01-02T22:20:00.000000+0100,0.058000
2013-01-02T22:30:00.000000+0100,0.277000
2013-01-02T22:40:00.000000+0100,0.107000
2013-01-02T22:50:00.000000+0100,-0.060000
2013-01-02T23:00:00.000000+0100,-0.062000
2013-01-02T23:10:00.000000+0100,0.262000
2013-01-02T23:20:00.000000+0100,0.220000
2013-01-02T23:30:00.000000+0100,-0.055000
2013-01-02T23:40:00.000000+0100,-0.071000
2013-01-02T23:50:00.000000+0100,-0.687000
2013-01-03T00:00:00.000000+0100,-0.166000
2013-01-03T00:10:00.000000+0100,-0.482000
2013-01-03T00:20:00.000000+0100,-0.483000
2013-01-03T00:30:00.000000+0100,-0.256000
2013-01-03T00:40:00.000000+0100,-0.603000
2013-01-03T00:50:00.000000+0100,-0.444000
2013-01-03T01:00:00.000000+0100,-0.407000
2013-01-03T01:10:00.000000+0100,-0.537000
2013-01-03T01:20:00.000000+0100,-0.421000
2013-01-03T01:30:00.000000+0100,-0.851000
2013-01-03T01:40:00.000000+0100,-0.490000
2013-01-03T01:50:00.000000+0100,-0.544000
2013-01-03T02:00:00.000000+0100,-0.886000
2013-01-03T02:10:00.000000+0100,-0.593000
2013-01-03T02:20:00.000000+0100,-0.359000
2013-01-03T02:30:00.000000+0100,-0.775000
2013-01-03T02:40:00.000000+0100,-0.679000
2013-01-03T02:50:00.000000+0100,-0.840000
2013-01-03T03:00:00.000000+0100,-1.014000
2013-01-03T03:10:00.000000+0100,-0.766000
2013-01-03T03:20:00.000000+0100,-0.879000
2013-01-03T03:30:00.000000+0100,-1.036000
2013-01-03T03:40:00.000000+0100,-0.687000
2013-01-03T03:50:00.000000+0100,-0.823000
2013-01-03T04:00:00.000000+0100,-1.337000
2013-01-03T04:10:00.000000+0100,-1.205000
2013-01-03T04:20:00.000000+0100,-0.917000
2013-01-03T04:30:00.000000+0100,-1.114000
2013-01-03T04:40:00.000000+0100,-1.177000
2013-01-03T04:50:00.000000+0100,-1.324000
2013-01-03T05:00:00.000000+0100,-1.057000
2013-01-03T05:10:00.000000+0100,-0.986000
2013-01-03T05:20:00.000000+0100,-1.343000
2013-01-03T05:30:00.000000+0100,-0.843000
2013-01-03T05:40:00.000000+0100,-0.907000
2013-01-03T05:50:00.000000+0100,-1.206000
2013-01-03T06:00:00.000000+0100,-1.221000
2013-01-03T06:10:00.000000+0100,-1.145000
2013-01-03T06:20:00.000000+0100,-1.180000
2013-01-03T06:30:00.000000+0100,-1.202000
2013-01-03T06:40:00.000000+0100,-1.342000
2013-01-03T06:50:00.000000+0100,-0.984000
2013-01-03T07:00:00.000000+0100,-1.290000
2013-01-03T07:10:00.000000+0100,-1.075000
2013-01-03T07:20:00.000000+0100,-1.381000
2013-01-03T07:30:00.000000+0100,-1.223000
2013-01-03T07:40:00.000000+0100,-1.211000
2013-01-03T07:50:00.000000+0100,-1.034000
2013-01-03T08:00:00.000000+0100,-1.399000
2013-01-03T08:10:00.000000+0100,-1.458000
2013-01-03T08:20:00.000000+0100,-0.804000
2013-01-03T08:30:00.000000+0100,-1.187000
2013-01-03T08:40:00.000000+0100,-1.240000
2013-01-03T08:50:00.000000+0100,-1.253000
2013-01-03T09:00:00.000000+0100,-0.866000
2013-01-03T09:10:00.000000+0100,-0.851000
2013-01-03T09:20:00.000000+0100,-0.652000
2013-01-03T09:30:00.000000+0100,-0.173000
2013-01-03T09:40:00.000000+0100,-0.688000
2013-01-03T09:50:00.000000+0100,-0.309000
2013-01-03T10:00:00.000000+0100,0.837000
2013-01-03T10:10:00.000000+0100,0.529000
2013-01-03T10:20:00.000000+0100,0.597000
2013-01-03T10:30:00.000000+0100,0.540000
2013-01-03T10:40:00.000000+0100,1.377000
2013-01-03T10:50:00.000000+0100,1.657000
2013-01-03T11:00:00.000000+0100,2.309000
2013-01-03T11:10:00.000000+0100,2.787000
2013-01-03T11:20:00.000000+0100,3.318000
2013-01-03T11:30:00.000000+0100,3.634000
2013-01-03T11:40:00.000000+0100,3.847000
2013-01-03T11:50:00.000000+0100,4.132000
2013-01-03T12:00:00.000000+0100,4.534000
2013-01-03T12:10:00.000000+0100,4.961000
2013-01-03T12:20:00.000000+0100,5.249000
2013-01-03T12:30:00.000000+0100,5.513000
2013-01-03T12:40:00.000000+0100,5.783000
2013-01-03T12:50:00.000000+0100,6.100000
2013-01-03T13:00:00.000000+0100,6.492000
2013-01-03T13:10:00.000000+0100,6.960000
2013-01-03T13:20:00.000000+0100,6.860000
2013-01-03T13:30:00.000000+0100,7.080000
2013-01-03T13:40:00.000000+0100,6.927000
2013-01-03T13:50:00.000000+0100,6.511000
2013-01-03T14:00:00.000000+0100,6.233000
2013-01-03T14:10:00.000000+0100,6.176000
2013-01-03T14:20:00.000000+0100,6.382000
2013-01-03T14:30:00.000000+0100,6.491000
2013-01-03T14:40:00.000000+0100,6.573000
2013-01-03T14:50:00.000000+0100,6.770000
2013-01-03T15:00:00.000000+0100,7.080000
2013-01-03T15:10:00.000000+0100,7.400000
2013-01-03T15:20:00.000000+0100,7.570000
2013-01-03T15:30:00.000000+0100,7.820000
2013-01-03T15:40:00.000000+0100,7.280000
2013-01-03T15:50:00.000000+0100,6.780000
2013-01-03T16:00:00.000000+0100,6.149000
2013-01-03T16:10:00.000000+0100,5.835000
2013-01-03T16:20:00.000000+0100,5.498000
2013-01-03T16:30:00.000000+0100,5.237000
2013-01-03T16:40:00.000000+0100,4.990000
2013-01-03T16:50:00.000000+0100,4.871000
2013-01-03T17:00:00.000000+0100,4.436000
2013-01-03T17:10:00.000000+0100,4.200000
2013-01-03T17:20:00.000000+0100,4.030000
2013-01-03T17:30:00.000000+0100,4.145000
2013-01-03T17:40:00.000000+0100,3.667000
2013-01-03T17:50:00.000000+0100,3.390000
2013-01-03T18:00:00.000000+0100,3.555000
2013-01-03T18:10:00.000000+0100,3.006000
2013-01-03T18:20:00.000000+0100,2.949000
2013-01-03T18:30:00.000000+0100,2.746000
2013-01-03T18:40:00.000000+0100,2.916000
2013-01-03T18:50:00.000000+0100,2.709000
2013-01-03T19:00:00.000000+0100,2.487000
2013-01-03T19:10:00.000000+0100,2.409000
2013-01-03T19:20:00.000000+0100,2.141000
2013-01-03T19:30:00.000000+0100,2.332000
2013-01-03T19:40:00.000000+0100,1.890000
2013-01-03T19:50:00.000000+0100,2.226000
2013-01-03T20:00:00.000000+0100,2.169000
2013-01-03T20:10:00.000000+0100,2.310000
2013-01-03T20:20:00.000000+0100,2.430000
2013-01-03T20:30:00.000000+0100,2.288000
2013-01-03T20:40:00.000000+0100,2.156000
2013-01-03T20:50:00.000000+0100,2.157000
2013-01-03T21:00:00.000000+0100,1.733000
2013-01-03T21:10:00.000000+0100,1.701000
2013-01-03T21:20:00.000000+0100,1.787000
2013-01-03T21:30:00.000000+0100,1.426000
2013-01-03T21:40:00.000000+0100,1.733000
2013-01-03T21:50:00.000000+0100,1.501000
2013-01-03T22:00:00.000000+0100,1.417000
2013-01-03T22:10:00.000000+0100,1.602000
2013-01-03T22:20:00.000000+0100,1.450000
2013-01-03T22:30:00.000000+0100,1.610000
2013-01-03T22:40:00.000000+0100,1.397000
2013-01-03T22:50:00.000000+0100,1.177000
2013-01-03T23:00:00.000000+0100,1.308000
2013-01-03T23:10:00.000000+0100,1.762000
2013-01-03T23:20:00.000000+0100,1.609000
2013-01-03T23:30:00.000000+0100,1.504000
2013-01-03T23:40:00.000000+0100,1.996000
2013-01-03T23:50:00.000000+0100,1.131000
2013-01-04T00:00:00.000000+0100,1.499000
2013-01-04T00:10:00.000000+0100,1.304000
2013-01-04T00:20:00.000000+0100,1.399000
2013-01-04T00:30:00.000000+0100,1.860000
2013-01-04T00:40:00.000000+0100,1.805000
2013-01-04T00:50:00.000000+0100,1.426000
2013-01-04T01:00:00.000000+0100,1.743000
2013-01-04T01:10:00.000000+0100,1.865000
2013-01-04T01:20:00.000000+0100,2.150000
2013-01-04T01:30:00.000000+0100,1.968000
2013-01-04T01:40:00.000000+0100,1.827000
2013-01-04T01:50:00.000000+0100,2.127000
2013-01-04T02:00:00.000000+0100,2.489000
2013-01-04T02:10:00.000000+0100,2.570000
2013-01-04T02:20:00.000000+0100,2.838000
2013-01-04T02:30:00.000000+0100,2.396000
2013-01-04T02:40:00.000000+0100,2.209000
2013-01-04T02:50:00.000000+0100,2.678000
2013-01-04T03:00:00.000000+0100,1.786000
2013-01-04T03:10:00.000000+0100,2.210000
2013-01-04T03:20:00.000000+0100,2.549000
2013-01-04T03:30:00.000000+0100,2.380000
2013-01-04T03:40:00.000000+0100,3.226000
2013-01-04T03:50:00.000000+0100,2.902000
2013-01-04T04:00:00.000000+0100,2.759000
2013-01-04T04:10:00.000000+0100,2.486000
2013-01-04T04:20:00.000000+0100,2.312000
2013-01-04T04:30:00.000000+0100,2.574000
2013-01-04T04:40:00.000000+0100,2.325000
2013-01-04T04:50:00.000000+0100,2.572000
2013-01-04T05:00:00.000000+0100,2.442000
2013-01-04T05:10:00.000000+0100,2.915000
2013-01-04T05:20:00.000000+0100,3.039000
2013-01-04T05:30:00.000000+0100,3.055000
2013-01-04T05:40:00.000000+0100,3.645000
2013-01-04T05:50:00.000000+0100,4.277000
2013-01-04T06:00:00.000000+0100,3.524000
2013-01-04T06:10:00.000000+0100,3.482000
2013-01-04T06:20:00.000000+0100,4.456000
2013-01-04T06:30:00.000000+0100,3.615000
2013-01-04T06:40:00.000000+0100,4.123000
2013-01-04T06:50:00.000000+0100,3.386000
2013-01-04T07:00:00.000000+0100,3.802000
2013-01-04T07:10:00.000000+0100,3.549000
2013-01-04T07:20:00.000000+0100,3.267000
2013-01-04T07:30:00.000000+0100,3.311000
2013-01-04T07:40:00.000000+0100,3.338000
2013-01-04T07:50:00.000000+0100,3.118000
2013-01-04T08:00:00.000000+0100,3.703000
2013-01-04T08:10:00.000000+0100,3.872000
2013-01-04T08:20:00.000000+0100,3.474000
2013-01-04T08:30:00.000000+0100,3.753000
2013-01-04T08:40:00.000000+0100,3.722000
2013-01-04T08:50:00.000000+0100,3.297000
2013-01-04T09:00:00.000000+0100,3.342000
2013-01-04T09:10:00.000000+0100,3.016000
2013-01-04T09:20:00.000000+0100,3.028000
2013-01-04T09:30:00.000000+0100,3.260000
2013-01-04T09:40:00.000000+0100,3.406000
2013-01-04T09:50:00.000000+0100,4.827000
2013-01-04T10:00:00.000000+0100,5.803000
2013-01-04T10:10:00.000000+0100,5.481000
2013-01-04T10:20:00.000000+0100,4.997000
2013-01-04T10:30:00.000000+0100,5.958000
2013-01-04T10:40:00.000000+0100,6.244000
2013-01-04T10:50:00.000000+0100,6.201000
2013-01-04T11:00:00.000000+0100,7.170000
2013-01-04T11:10:00.000000+0100,7.310000
2013-01-04T11:20:00.000000+0100,7.960000
2013-01-04T11:30:00.000000+0100,8.580000
2013-01-04T11:40:00.000000+0100,8.890000
2013-01-04T11:50:00.000000+0100,9.230000
2013-01-04T12:00:00.000000+0100,9.970000
2013-01-04T12:10:00.000000+0100,10.730000
2013-01-04T12:20:00.000000+0100,11.540000
2013-01-04T12:30:00.000000+0100,12.050000
2013-01-04T12:40:00.000000+0100,12.360000
2013-01-04T12:50:00.000000+0100,13.150000
2013-01-04T13:00:00.000000+0100,13.790000
2013-01-04T13:10:00.000000+0100,16.520000
2013-01-04T13:20:00.000000+0100,18.790000
2013-01-04T13:30:00.000000+0100,18.890000
2013-01-04T13:40:00.000000+0100,18.720000
2013-01-04T13:50:00.000000+0100,18.690000
2013-01-04T14:00:00.000000+0100,18.650000
2013-01-04T14:10:00.000000+0100,18.530000
2013-01-04T14:20:00.000000+0100,18.400000
2013-01-04T14:30:00.000000+0100,18.120000
2013-01-04T14:40:00.000000+0100,18.270000
2013-01-04T14:50:00.000000+0100,17.920000
2013-01-04T15:00:00.000000+0100,18.330000
2013-01-04T15:10:00.000000+0100,18.310000
2013-01-04T15:20:00.000000+0100,18.270000
2013-01-04T15:30:00.000000+0100,18.040000
2013-01-04T15:40:00.000000+0100,17.920000
2013-01-04T15:50:00.000000+0100,17.670000
2013-01-04T16:00:00.000000+0100,17.030000
2013-01-04T16:10:00.000000+0100,16.750000
2013-01-04T16:20:00.000000+0100,16.390000
2013-01-04T16:30:00.000000+0100,16.410000
2013-01-04T16:40:00.000000+0100,17.030000
2013-01-04T16:50:00.000000+0100,16.950000
2013-01-04T17:00:00.000000+0100,16.930000
2013-01-04T17:10:00.000000+0100,17.010000
2013-01-04T17:20:00.000000+0100,17.220000
2013-01-04T17:30:00.000000+0100,16.810000
2013-01-04T17:40:00.000000+0100,16.580000
2013-01-04T17:50:00.000000+0100,16.540000
2013-01-04T18:00:00.000000+0100,16.810000
2013-01-04T18:10:00.000000+0100,16.520000
2013-01-04T18:20:00.000000+0100,16.850000
2013-01-04T18:30:00.000000+0100,16.700000
2013-01-04T18:40:00.000000+0100,16.360000
2013-01-04T18:50:00.000000+0100,16.180000
2013-01-04T19:00:00.000000+0100,16.420000
2013-01-04T19:10:00.000000+0100,16.280000
2013-01-04T19:20:00.000000+0100,15.890000
2013-01-04T19:30:00.000000+0100,15.780000
2013-01-04T19:40:00.000000+0100,15.730000
2013-01-04T19:50:00.000000+0100,13.960000
2013-01-04T20:00:00.000000+0100,14.360000
2013-01-04T20:10:00.000000+0100,14.750000
2013-01-04T20:20:00.000000+0100,14.240000
2013-01-04T20:30:00.000000+0100,14.940000
2013-01-04T20:40:00.000000+0100,15.740000
2013-01-04T20:50:00.000000+0100,15.430000
2013-01-04T21:00:00.000000+0100,14.100000
2013-01-04T21:10:00.000000+0100,13.520000
2013-01-04T21:20:00.000000+0100,14.570000
2013-01-04T21:30:00.000000+0100,12.770000
2013-01-04T21:40:00.000000+0100,12.340000
2013-01-04T21:50:00.000000+0100,11.100000
2013-01-04T22:00:00.000000+0100,10.060000
2013-01-04T22:10:00.000000+0100,9.320000
2013-01-04T22:20:00.000000+0100,9.090000
2013-01-04T22:30:00.000000+0100,9.210000
2013-01-04T22:40:00.000000+0100,9.080000
2013-01-04T22:50:00.000000+0100,9.370000
2013-01-04T23:00:00.000000+0100,10.380000
