urn:ogc:def:parameter:x-istsos:1.0:time:iso8601,urn:ogc:def:parameter:x-istsos:1.0:meteo:air:humidity:relative,urn:ogc:def:parameter:x-istsos:1.0:meteo:air:rainfall,urn:ogc:def:parameter:x-istsos:1.0:meteo:air:temperature,urn:ogc:def:parameter:x-istsos:1.0:meteo:air:wind:velocity,urn:ogc:def:parameter:x-istsos:1.0:meteo:solar:radiation
2015-04-02T02:00:00.000000+0100,92.700000,0.000000,0.000000,2.000000,0.000000
2015-04-02T03:00:00.000000+0100,92.700000,0.000000,0.000000,2.000000,0.000000
2015-04-02T04:00:00.000000+0100,92.100000,0.000000,0.000000,1.000000,0.000000
2015-04-02T05:00:00.000000+0100,92.200000,0.000000,0.000000,0.000000,3.000000
2015-04-02T06:00:00.000000+0100,89.800000,0.000000,0.000000,1.000000,55.000000
2015-04-02T07:00:00.000000+0100,82.800000,0.000000,0.000000,1.000000,266.000000
2015-04-02T08:00:00.000000+0100,75.500000,0.100000,0.000000,1.000000,478.000000
2015-04-02T09:00:00.000000+0100,67.700000,0.600000,0.000000,1.000000,611.000000
2015-04-02T10:00:00.000000+0100,60.900000,0.800000,1.000000,1.000000,712.000000
2015-04-02T11:00:00.000000+0100,58.900000,0.700000,2.000000,1.000000,538.000000
2015-04-02T12:00:00.000000+0100,62.800000,0.000000,1.000000,2.000000,278.000000
2015-04-02T13:00:00.000000+0100,64.600000,0.000000,1.000000,2.000000,235.000000
2015-04-02T14:00:00.000000+0100,65.200000,0.000000,1.000000,2.000000,186.000000
2015-04-02T15:00:00.000000+0100,64.300000,0.000000,1.000000,2.000000,132.000000
2015-04-02T16:00:00.000000+0100,65.600000,0.000000,1.000000,2.000000,79.000000
2015-04-02T17:00:00.000000+0100,69.000000,0.000000,1.000000,2.000000,15.000000
2015-04-02T18:00:00.000000+0100,70.600000,0.000000,1.000000,2.000000,0.000000
2015-04-02T19:00:00.000000+0100,71.600000,0.000000,0.000000,3.000000,0.000000
2015-04-02T20:00:00.000000+0100,72.500000,0.000000,0.000000,3.000000,0.000000
2015-04-02T21:00:00.000000+0100,75.800000,0.000000,0.000000,3.000000,0.000000
2015-04-02T22:00:00.000000+0100,78.200000,0.000000,0.000000,3.000000,0.000000
2015-04-02T23:00:00.000000+0100,80.200000,0.000000,0.000000,3.000000,0.000000
2015-04-03T00:00:00.000000+0100,82.900000,0.000000,0.000000,3.000000,0.000000
2015-04-03T01:00:00.000000+0100,83.700000,0.000000,0.000000,4.000000,0.000000
2015-04-03T02:00:00.000000+0100,81.000000,0.000000,0.000000,4.000000,0.000000
2015-04-03T03:00:00.000000+0100,81.300000,0.000000,0.000000,5.000000,0.000000
2015-04-03T04:00:00.000000+0100,91.000000,0.000000,0.000000,6.000000,0.000000
2015-04-03T05:00:00.000000+0100,94.800000,0.000000,0.000000,6.000000,5.000000
